"Zeit (lokal, CET)",Geraet,Quelle,Akteur,Beschreibung
2026-01-23 18:35:00,Samsung (Daniel),WhatsApp,4915123456789,„Ok mach ich.“
2026-01-23 21:15:00,iPhone (Anna),WhatsApp/gym_crew,Anna,"„Top, danke! Bis morgen früh.“"
2026-01-24 16:10:00,Samsung (Daniel),WiFi-Assoc,Daniel,"WLAN 'Werkstatt' @ 48.7510,9.2100 (gecacht)"
2026-01-24 18:10:00,Samsung (Daniel),WhatsApp,Daniel,"„Ok, danke für die Info.“"
2026-01-24 18:30:00,Cloud (Google/Daniel),Takeout/Location,Daniel,"Aufenthalt Zuhause (48.7758,9.1829)"
2026-01-24 20:04:00,Samsung (Daniel),calllog.db,Daniel,Anruf eingehend Tobias Klenk (92s)
2026-01-24 20:05:00,Samsung (Daniel),WhatsApp,4915443456786,"„Ich brauch das Geld bis Montag, Daniel. Kein Spiel mehr.“"
2026-01-24 22:11:54,Cloud (iCloud/Anna),iCloud-Sync,Anna,Sync notes [synced]
2026-01-24 22:14:02,Cloud (iCloud/Anna),iCloud-Sync,Anna,Sync photos_metadata [synced]
2026-01-24 23:10:00,iPhone (Anna),locationd/Cell,Anna,"Standort 48.7758,9.1829"
2026-01-25 06:50:00,iPhone (Anna),healthdb/HR,Anna,Herzfrequenz 58 bpm
2026-01-25 06:50:00,Cloud (Google/Daniel),Takeout/Location,Daniel,"Aufenthalt Zuhause (48.7758,9.1829)"
2026-01-25 06:55:00,Cloud (iCloud/Anna),iCloud-Sync,Anna,Sync health [synced]
2026-01-25 07:05:00,iPhone (Anna),healthdb/HR,Anna,Herzfrequenz 64 bpm
2026-01-25 07:05:00,iPhone (Anna),BIOME/Safari,Anna,Web: google.com/search?q=anwalt+trennung+sorgerecht
2026-01-25 07:09:00,iPhone (Anna),BIOME/Safari,Anna,Web: bahn.de/verbindungen
2026-01-25 07:09:18,Cloud (iCloud/Anna),iCloud-Sync,Anna,Sync calendar [synced]
2026-01-25 07:15:00,Samsung (Daniel),Loc/wifi,Daniel,"Standort 48.7758,9.1829 (±40m)"
2026-01-25 07:20:00,iPhone (Anna),healthdb/HR,Anna,Herzfrequenz 72 bpm
2026-01-25 07:25:00,Samsung (Daniel),WhatsApp,Daniel,„Wo willst du so frueh hin?“
2026-01-25 07:33:00,iPhone (Anna),healthdb/HR,Anna,Herzfrequenz 95 bpm
2026-01-25 07:33:00,iPhone (Anna),locationd/Cell,Anna,"Standort 48.7740,9.1900"
2026-01-25 07:38:00,Samsung (Daniel),WiFi-Assoc,Daniel,"WLAN 'Home-WLAN' @ 48.7758,9.1829 (gecacht)"
2026-01-25 07:45:00,iPhone (Anna),healthdb/HR,Anna,Herzfrequenz 121 bpm
2026-01-25 07:45:00,iPhone (Anna),locationd/Cell,Anna,"Standort 48.7520,9.2300"
2026-01-25 07:50:00,iPhone (Anna),healthdb/HR,Anna,Herzfrequenz 138 bpm
2026-01-25 07:52:00,iPhone (Anna),locationd/Cell,Anna,"Standort 48.7320,9.2470"
2026-01-25 08:02:00,Samsung (Daniel),Loc/cell,Daniel,"Standort 48.7330,9.2460 (±1400m)"
2026-01-25 08:25:00,Samsung (Daniel),calllog.db,Daniel,Anruf ausgehend Tobias Klenk (41s)
2026-01-25 08:26:00,Samsung (Daniel),WhatsApp,Daniel,„Hab kurz versucht dich zu erreichen. Melde mich spaeter.“
2026-01-25 08:31:00,Samsung (Daniel),Loc/cell,Daniel,"Standort 48.7505,9.2090 (±900m)"
2026-01-25 09:05:00,Cloud (Google/Daniel),Takeout/Location,Daniel,"Aufenthalt Gewerbegebiet (48.7510,9.2100)"
2026-01-25 09:40:00,Cloud (Google/Daniel),Takeout/Activity,Daniel,Bewegung (IN_VEHICLE)
2026-01-25 10:10:00,Cloud (Google/Daniel),Takeout/Location,Daniel,"Aufenthalt Zuhause (48.7758,9.1829)"
2026-01-25 12:18:00,Samsung (Daniel),calllog.db,Daniel,Anruf ausgehend 110 (213s)
2026-01-25 13:40:00,Cloud (iCloud/Anna),iCloud-Sync,Anna,Sync photos_metadata [partial/delayed]
2026-03-01 09:00:00,iPhone (Anna),sms.db/iMessage,+4915120000000,„Treffen wir uns?“
2026-03-01 09:05:00,iPhone (Anna),sms.db/iMessage,Anna,"„Ja, um 18 Uhr.“"
